rabbitmq-3-1  | 2026-08-30 14:37:54.173981+00:00 [info] <0.209.0> Running boot step rabbit_auth_mechanism_plain defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 14:37:54.174042+00:00 [info] <0.209.0> Running boot step rabbit_exchange_type_direct defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 14:37:54.174173+00:00 [info] <0.209.0> Running boot step rabbit_exchange_type_fanout defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 14:37:54.174202+00:00 [info] <0.209.0> Running boot step rabbit_exchange_type_headers defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 14:37:54.174216+00:00 [info] <0.209.0> Running boot step rabbit_exchange_type_local_random defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 14:37:54.174234+00:00 [info] <0.209.0> Running boot step rabbit_exchange_type_modulus_hash defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 14:37:54.174269+00:00 [info] <0.209.0> Running boot step rabbit_exchange_type_topic defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 14:37:54.174286+00:00 [info] <0.209.0> Running boot step rabbit_priority_queue defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 14:37:54.174309+00:00 [info] <0.209.0> Priority queues enabled, real BQ is rabbit_variable_queue[0m
rabbitmq-3-1  | 2026-08-30 14:37:54.174326+00:00 [info] <0.209.0> Running boot step kernel_ready defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 14:37:54.174333+00:00 [info] <0.209.0> Running boot step pg_local_amqp_connection defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 14:37:54.180194+00:00 [info] <0.209.0> Running boot step pg_local_amqp_session defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 14:37:54.180373+00:00 [info] <0.209.0> Running boot step rabbit_sysmon_minder defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 14:37:54.180500+00:00 [info] <0.209.0> Running boot step rabbit_epmd_monitor defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 14:37:54.181174+00:00 [info] <0.782.0> epmd monitor knows us, inter-node communication (distribution) port: 25672[0m
rabbitmq-3-1  | 2026-08-30 14:37:54.181233+00:00 [info] <0.209.0> Running boot step guid_generator defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 14:37:54.188189+00:00 [info] <0.209.0> Running boot step rabbit_node_monitor defined by app rabbit[0m
